,ASSESSED_LAND_VALUE,ASSESSED_TOTAL_VALUE,ASSESSED_IMP_VALUE,ZIP,BATH,BED,AGE,STORIES,GARAGE_TYPE,PARKING,TOTAL_UNITS,LAND_USE,POOL,FIREPLACE,PROPERTY_TYPE,BUILDING_AREA,LOT_SIZE,FIDELITY_LATITUDE,FIDELITY_LONGITUDE
139,195199.0,296164.0,491363.0,94903,3.0,4,41.0,,Y,2,1,1001,,,,2174,8352.0,38.020624999999995,-122.544901
140,64290.0,150010.0,214300.0,94609,2.0,4,99.0,1.5,,0,2,1101,,,,2791,5200.0,37.839977,-122.264907
141,590672.0,1623024.0,2213696.0,94566,5.5,5,4.0,2,G,6,0,1001,,,,7810,31124.0,37.629267999999996,-121.807034
142,17202.0,31556.0,48758.0,95127,2.0,3,49.0,1,G,1,0,1001,,,,1040,4792.0,37.348298,-121.80700999999999
143,19541.0,22589.0,42130.0,94134,1.0,0,65.0,1,,0,0,1001,,,,994,1842.0,37.730157,-122.418166
144,336156.0,112045.0,448201.0,94303,1.0,3,58.0,1,G,1,0,1001,,,,1056,6534.0,37.426097,-122.11112
145,81000.0,231750.0,312750.0,95404,3.0,4,9.0,2,,0,1,1001,,1,,1350,3350.0,38.418487,-122.701802
146,202354.0,88527.0,290881.0,94112,1.0,1,85.0,1,V,0,0,1001,,,,1125,3097.0,37.710661,-122.434265
147,47918.0,87973.0,135891.0,94591,1.0,3,56.0,1,G,2,0,1001,,Y,,1257,6098.0,38.098858,-122.212523
148,80458.0,236926.0,317384.0,94521,4.0,3,31.0,,Y,2,0,1001,P,,,2829,13650.0,37.96327,-121.976042
149,5090.0,0.0,5090.0,94514,0.0,0,,,,0,0,8001,,,,0,18000.0,37.868877,-121.639662
150,243476.0,158260.0,401736.0,94112,1.0,0,87.0,1,,0,0,1001,,,,2331,4264.0,37.717312,-122.438915
151,217500.0,507500.0,725000.0,94610,1.0,3,85.0,1.5,,0,0,1001,,,,1428,4128.0,37.807617,-122.229278
152,96006.0,144009.0,240015.0,94501,1.0,2,98.0,1,G,0,0,1001,,,,1132,2880.0,37.769287999999996,-122.244709
153,119445.0,142055.0,261500.0,94513,3.0,4,6.0,,Y,2,0,1001,,,,1845,4900.0,37.936676,-121.684336
154,1587500.0,700300.0,2287800.0,95070,3.5,4,104.0,2,G,2,0,1001,,,,4037,1.0,37.266763,-122.04993400000001
155,107416.0,249332.0,356748.0,95425,2.0,2,12.0,1,,0,1,1001,,1,,1536,6137.0,38.79,-123.021609
156,62711.0,53857.0,116568.0,94523,2.0,4,72.0,,,0,0,1001,,,,1468,11529.0,37.942538,-122.076298
157,193503.0,212851.0,406354.0,95129,2.0,3,52.0,1,G,2,0,1001,,,,1546,6098.0,37.294107,-122.022655
158,18658.0,46456.0,65114.0,94587,2.0,4,40.0,1,G,0,0,1001,,,,1556,5500.0,37.595399,-122.068169
159,378568.0,189283.0,567851.0,95008,2.0,4,48.0,1,G,2,0,1001,P,,,1611,6534.0,37.283812,-121.966758
160,530604.0,162727.0,693331.0,94707,2.5,3,72.0,,Y,1,0,1001,,,,2214,4732.0,37.903659,-122.282242
161,128700.0,300300.0,429000.0,94587,2.0,3,40.0,1,G,0,0,1001,,,,1591,6200.0,37.599964,-122.053598
162,13137.0,39412.0,52549.0,94551,2.0,3,39.0,1,G,0,0,1001,,,,1265,6700.0,37.684504,-121.793876
163,117839.0,38547.0,156386.0,94536,1.0,2,62.0,1,G,0,0,1001,,,,1000,7500.0,37.57513,-121.974642
164,39447.0,104258.0,143705.0,95032,2.0,2,34.0,2,G,2,0,1004,,,,1680,871.0,37.259125999999995,-121.988135
165,189083.0,197488.0,386571.0,94134,1.0,0,72.0,1,,0,0,1001,,,,1377,2613.0,37.730456,-122.4136
166,91151.0,441631.0,532782.0,95125,2.5,3,61.0,2,G,1,0,1001,,,,2937,4792.0,37.315658,-121.901448
167,198732.0,463708.0,662440.0,94539,2.0,3,40.0,1,G,0,0,1001,,,,1364,3154.0,37.541863,-121.950141
168,64500.0,122000.0,186500.0,95122,1.0,2,30.0,1,G,1,0,1004,,,,885,1307.0,37.314392999999995,-121.841548
169,180012.0,420028.0,600040.0,94611,1.5,3,100.0,1,G,0,0,1001,,,,2113,8250.0,37.827888,-122.239987
170,45475.0,97020.0,142495.0,94806,2.0,3,41.0,,Y,2,0,1001,,,,1236,6000.0,38.003768,-122.321478
171,139369.0,115131.0,254500.0,94520,2.0,4,49.0,,Y,2,0,1001,,,,1244,6000.0,38.00157,-122.034208
172,191438.0,295402.0,486840.0,94506,3.0,4,20.0,,Y,2,0,1009,,,,3102,7230.0,37.799531,-121.92746199999999
173,273687.0,0.0,273687.0,95476,0.0,0,,,,0,0,8001,,,,0,77.919998,38.294261,-122.437725
174,17559.0,46448.0,64007.0,95125,2.5,4,49.0,1,G,1,0,1001,,,,1508,7405.0,37.288326999999995,-121.87610699999999
175,70846.0,181347.0,252193.0,95070,2.5,5,47.0,1,G,2,0,1001,,,,2538,12632.0,37.273500999999996,-122.023005
176,95993.0,223983.0,319976.0,94605,3.0,3,58.0,1,G,0,0,1001,,,,2053,19750.0,37.749914,-122.127676
177,84780.0,266046.0,350826.0,95688,3.0,3,15.0,1,G,2,0,1001,,Y,,2573,8712.0,38.393933,-121.982572
178,13615.0,12720.0,26335.0,94124,1.0,0,99.0,1,,0,0,1001,,,,1171,2495.0,37.728733,-122.386825
179,24732.0,117947.0,142679.0,94565,2.0,4,36.0,,Y,2,0,1001,,,,1497,7700.0,38.0114,-121.901018
180,18998.0,37061.0,56059.0,95014,2.0,3,55.0,1,C,1,0,1001,,,,1127,6534.0,37.313263,-121.99761
